ORDER NUMBER,QUANTITY ORDERED,PRICE EACH,SALES,ORDER LINE NUMBER,ORDER DATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,MONTH-YEAR,PRODUCT LINE,MSRP,PRODUCT CODE,CUSTOMER NAME,PHONE,ADDRESS LINE1,ADDRESS LINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACT LAST NAME,CONTACT FIRST NAME,DEALSIZE
10107,30,$95.70,"$2,871.00",2,2/24/2003,Shipped,1,2,2003,2003-02,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121,34,$81.35,"$2,765.90",5,05-07-2003,Shipped,2,5,2003,2003-05,Motorcycles,95,S10_1678,Reims Collectables,26471555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134,41,$94.74,"$3,884.34",2,07-01-2003,Shipped,3,7,2003,2003-07,Motorcycles,95,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145,45,$83.26,"$3,746.70",6,8/25/2003,Shipped,3,8,2003,2003-08,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,$100.00,"$4,900.00",14,10-10-2003,Shipped,4,10,2003,2003-10,Motorcycles,95,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168,36,$96.66,"$3,479.76",1,10/28/2003,Shipped,4,10,2003,2003-10,Motorcycles,95,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180,29,$86.13,"$2,497.77",9,11-11-2003,Shipped,4,11,2003,2003-11,Motorcycles,95,S10_1678,Daedalus Designs Imports,20161555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
10188,48,$100.00,"$4,800.00",1,11/18/2003,Shipped,4,11,2003,2003-11,Motorcycles,95,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201,22,$98.57,"$2,168.54",2,12-01-2003,Shipped,4,12,2003,2003-12,Motorcycles,95,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211,41,$100.00,"$4,100.00",14,1/15/2004,Shipped,1,1,2004,2004-01,Motorcycles,95,S10_1678,Auto Canal Petit,(1) 47556555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10223,37,$100.00,"$3,700.00",1,2/20/2004,Shipped,1,2,2004,2004-02,Motorcycles,95,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237,23,$100.00,"$2,300.00",7,04-05-2004,Shipped,2,4,2004,2004-04,Motorcycles,95,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251,28,$100.00,"$2,800.00",2,5/18/2004,Shipped,2,5,2004,2004-05,Motorcycles,95,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,34,$100.00,"$3,400.00",2,6/28/2004,Shipped,2,6,2004,2004-06,Motorcycles,95,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,$92.83,"$4,177.35",1,7/23/2004,Shipped,3,7,2004,2004-07,Motorcycles,95,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285,36,$100.00,"$3,600.00",6,8/27/2004,Shipped,3,8,2004,2004-08,Motorcycles,95,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299,23,$100.00,"$2,300.00",9,9/30/2004,Shipped,3,9,2004,2004-09,Motorcycles,95,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309,41,$100.00,"$4,100.00",5,10/15/2004,Shipped,4,10,2004,2004-10,Motorcycles,95,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318,46,$94.74,"$4,358.04",1,11-02-2004,Shipped,4,11,2004,2004-11,Motorcycles,95,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329,42,$100.00,"$4,200.00",1,11/15/2004,Shipped,4,11,2004,2004-11,Motorcycles,95,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
